id,id,host_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
970809.0,970809.0,5305009,39.47376,-0.37578,3.0,1.0,1.0,1.0,99.0,4.0,120.0,4.0,4.0,1125,1125,4.0,1125.0,15,30,37,288,50.0,1.0,0.0,0.35,4.6,4.64,4.58,4.88,4.82,5.0,4.6,3.0,3.0,0.0,0.0
983548.0,983548.0,1120386,39.46527,-0.3801,4.0,1.0,1.0,2.0,99.0,3.0,242.2,1.0,3.0,1125,1125,3.0,1125.0,12,36,66,341,23.3,10.1,1.0,1.2,4.79,4.8,4.86,4.87,4.9,4.77,4.78,1.0,1.0,0.0,0.0
993282.0,993282.0,5456718,39.46614,-0.38086,2.0,1.0,1.0,1.0,86.0,2.0,10.0,2.0,2.0,10,10,2.0,10.0,4,17,47,48,23.3,32.0,4.0,1.24,4.59,4.68,4.66,4.73,4.8,4.7,4.48,1.0,1.0,0.0,0.0
995182.0,995182.0,5318547,39.47062,-0.37194,3.3,1.0,3.0,6.0,223.0,3.0,10.0,3.0,3.0,1125,1125,3.0,1125.0,11,32,62,320,23.3,10.1,1.0,2.53,4.65,4.69,4.61,4.88,4.84,4.95,4.67,1.0,1.0,0.0,0.0
1043431.0,1043431.0,3269596,39.47344,-0.37836,3.0,1.0,2.0,3.0,131.0,5.0,21.0,4.0,5.0,21,21,5.0,21.0,2,11,18,180,23.3,36.0,4.0,3.28,4.79,4.79,4.63,4.92,4.96,4.92,4.77,2.0,2.0,0.0,0.0
1076404.0,1076404.0,2869421,39.4677124,-0.384667009,2.0,1.0,1.0,1.0,94.0,2.0,10.0,2.0,2.0,10,10,2.0,10.0,5,17,34,302,23.3,41.0,5.0,2.05,4.82,4.89,4.87,4.87,4.94,4.77,4.78,1.0,1.0,0.0,0.0
1114098.0,1114098.0,1512611,39.47355,-0.38043,4.0,1.0,1.0,1.0,104.0,2.0,180.0,2.0,2.0,180,180,2.0,180.0,10,36,61,97,23.3,46.0,2.0,0.92,4.63,4.64,4.69,4.63,4.72,4.92,4.66,3.0,3.0,0.0,0.0
1145001.0,1145001.0,6278049,39.46043,-0.37314,4.0,1.0,3.0,3.0,71.0,2.0,242.2,2.0,2.0,1125,1125,2.0,1125.0,12,15,20,20,23.3,30.0,3.0,1.15,4.39,4.54,4.42,4.64,4.82,4.86,4.36,1.0,1.0,0.0,0.0
1147656.0,1147656.0,6258307,39.48983765,-0.404379994,6.0,1.0,3.0,5.0,135.0,5.0,30.0,3.0,5.0,30,30,5.0,30.0,1,1,20,179,23.3,21.0,1.0,1.71,4.92,4.95,4.98,4.96,4.94,4.78,4.88,1.0,1.0,0.0,0.0
1191980.0,1191980.0,6516174,39.46085,-0.37638,2.0,1.0,1.0,1.0,48.0,5.0,730.0,4.0,4.0,730,730,4.0,730.0,24,54,84,353,23.3,6.0,2.0,1.81,4.66,4.75,4.56,4.89,4.84,4.88,4.68,2.0,0.0,2.0,0.0
1220708.0,1220708.0,3264741,39.49138,-0.37427,4.0,1.0,2.0,4.0,117.0,3.2,242.2,1.0,14.0,1125,1125,13.3,1125.0,5,13,27,133,23.3,6.0,0.0,1.47,4.49,4.67,4.38,4.8,4.81,4.33,4.54,1.0,1.0,0.0,0.0
1232560.0,1232560.0,5955237,39.46312,-0.37694,4.0,1.0,2.0,2.0,118.0,1.0,10.0,1.0,6.0,10,10,2.8,10.0,12,25,52,151,23.3,31.0,3.0,1.28,4.83,4.88,4.76,4.92,4.88,4.85,4.73,1.0,1.0,0.0,0.0
1254792.0,1254792.0,6835647,39.46713,-0.38027,4.0,1.0,2.0,2.0,190.0,11.0,242.2,2.0,11.0,1125,1125,10.9,1125.0,15,40,70,231,65.0,27.0,3.0,0.49,4.52,4.74,4.58,4.43,4.85,4.65,4.48,4.0,4.0,0.0,0.0
1263619.0,1263619.0,6879501,39.47109,-0.38169,4.0,1.0,2.0,2.0,104.0,3.2,730.0,1.9,4.7,730,730,4.0,730.0,27,54,67,67,23.3,17.0,0.0,1.09,4.71,4.8,4.73,4.85,4.8,4.78,4.64,1.0,1.0,0.0,0.0
1308898.0,1308898.0,7115413,39.48005,-0.38036,5.0,1.0,2.0,3.0,105.0,3.0,365.0,3.0,3.0,1125,1125,3.0,1125.0,5,22,52,88,23.3,31.0,4.0,3.01,4.8,4.85,4.84,4.9,4.91,4.82,4.76,1.0,1.0,0.0,0.0
1331704.0,1331704.0,5824416,39.46139,-0.37657,3.0,1.0,1.0,2.0,64.0,2.0,242.2,2.0,2.0,1125,1125,2.0,1125.0,3,6,9,57,23.3,13.0,1.0,1.36,4.62,4.81,4.86,4.75,4.83,4.85,4.68,1.0,1.0,0.0,0.0
1381562.0,1381562.0,7481013,39.47938,-0.3816,4.0,1.0,2.0,2.0,99.0,3.0,242.2,1.9,4.7,1125,1125,4.0,1125.0,0,0,0,0,23.3,20.0,0.0,2.57,4.68,4.72,4.61,4.71,4.74,4.8,4.7,1.0,1.0,0.0,0.0
1381987.0,1381987.0,7483341,39.47835,-0.37718,1.0,1.0,1.0,1.0,53.0,2.0,60.0,2.0,4.0,60,60,2.2,60.0,8,8,25,42,33.0,0.0,0.0,0.23,4.66,4.82,4.73,4.76,4.73,4.85,4.7,1.0,0.0,1.0,0.0
1400077.0,1400077.0,727214,39.47837,-0.37671,4.0,1.0,2.0,2.0,104.0,7.0,10.0,7.0,7.0,10,10,7.0,10.0,3,3,3,15,23.3,20.0,1.0,1.49,4.87,4.9,4.9,4.92,4.95,4.99,4.87,1.0,1.0,0.0,0.0
1435971.0,1435971.0,3419118,39.47701,-0.37513,4.0,1.0,2.0,3.0,120.0,3.2,250.0,1.9,4.7,1125,1125,4.0,1125.0,0,1,9,9,14.0,3.0,0.0,0.1,5.0,5.0,5.0,4.86,4.93,5.0,4.93,1.0,1.0,0.0,0.0
1460051.0,1460051.0,6871400,39.46449,-0.36583,4.0,1.0,2.0,3.0,124.0,11.0,730.0,1.0,11.0,730,730,10.9,730.0,8,14,32,249,23.3,28.0,0.0,1.69,4.76,4.85,4.79,4.76,4.83,4.91,4.78,1.0,1.0,0.0,0.0
1470620.0,1470620.0,3828810,39.45716,-0.38505,4.0,1.0,2.0,3.0,100.0,7.0,10.0,3.0,7.0,4,1125,6.8,633.4,5,15,35,149,66.0,23.0,4.0,0.46,4.63,4.68,4.67,4.8,4.95,4.31,4.58,1.0,1.0,0.0,0.0
1499012.0,1499012.0,8010349,39.48014,-0.32582,4.0,1.0,2.0,3.0,99.0,11.0,730.0,1.9,11.0,730,730,11.0,730.0,15,34,64,320,23.3,0.0,0.0,2.25,4.78,4.88,4.68,4.96,4.96,4.69,4.8,1.0,1.0,0.0,0.0
1538774.0,1538774.0,8204317,39.47973,-0.37538,4.0,1.0,1.0,1.0,141.0,4.0,242.2,4.0,4.0,1125,1125,4.0,1125.0,9,25,54,110,23.3,16.0,1.0,1.85,4.94,4.96,4.9,4.96,4.96,4.95,4.87,1.0,1.0,0.0,0.0
1587310.0,1587310.0,8286196,39.48643,-0.36135,1.0,1.0,1.0,1.0,27.0,2.0,10.0,2.0,2.0,10,10,2.0,10.0,4,6,26,26,76.0,10.0,1.0,0.65,4.86,4.91,4.79,4.95,4.91,4.92,4.82,1.0,0.0,1.0,0.0
1639276.0,1639276.0,8704211,39.46665,-0.37949,7.0,1.0,3.0,6.0,129.0,3.0,300.0,3.0,3.0,300,300,3.0,300.0,3,17,27,170,23.3,19.0,2.0,1.29,4.42,4.45,4.33,4.8,4.87,4.75,4.48,2.0,2.0,0.0,0.0
